ID_reporte,fecha_reporte,ID_clima,id_producto,ID_finca,PH,Tipo_cafe,ubicacion,hectarias,Humedad,Temperatura,Fecha_clima
7253,2025-05-19,201,2,105,5.3,Robusta,Tolima,10,87.0,25.1,2025-05-19
5685,2025-05-12,201,4,104,,Robusta,Caldas,16,74.0,20.3,2025-05-12
2732,2025-05-19,204,4,103,6.6,Arábica,Antioquia,17,93.0,27.0,2025-05-19
5743,2025-05-18,204,2,105,5.5,Robusta,Tolima,13,83.0,22.1,2025-05-18
5522,2025-05-08,203,2,102,5.9,Excelsa,Huila,15,73.0,18.2,2025-05-08
7341,2025-05-31,201,1,103,5.2,Arábica,Nariño,8,61.0,24.6,2025-05-31
1577,2025-05-31,202,4,103,5.5,Arábica,Tolima,18,61.0,,2025-05-31
6203,2025-05-16,203,1,105,6.4,Liberica,Huila,16,91.0,22.1,2025-05-16
7364,2025-05-10,203,2,101,5.5,Excelsa,Nariño,12,80.0,27.2,2025-05-10
1440,2025-05-22,201,3,101,6.4,Arábica,Huila,18,70.0,24.5,2025-05-22
3751,2025-05-19,202,1,105,7.0,Excelsa,Huila,15,90.0,28.0,2025-05-19
8488,2025-05-29,203,2,105,5.9,Arábica,Caldas,16,69.0,21.3,2025-05-29
6273,2025-05-19,203,3,103,99.9,Arábica,Tolima,11,66.0,27.3,2025-05-19
6654,2025-05-11,202,2,102,5.5,Arábica,??,20,67.0,22.8,2025-05-11
5000,2025-05-15,202,1,103,5.6,Liberica,Caldas,8,94.0,23.6,2025-05-15
7034,2025-05-09,201,3,104,5.9,Robusta,Tolima,11,90.0,20.1,2025-05-09
1583,2025-05-11,204,3,104,6.7,Arábica,Tolima,19,92.0,20.2,2025-05-11
10931,2025-05-03,201,3,105,6.9,Liberica,Antioquia,12,89.0,24.3,2025-05-03
8052,2025-05-26,204,2,102,6.2,Robusta,Tolima,18,75.0,22.7,2025-05-26
9159,2025-05-06,204,4,103,6.5,Excelsa,Antioquia,9,79.0,20.7,2025-05-06
10897,2025-05-15,202,3,103,6.0,Excelsa,Huila,13,73.0,20.4,2025-05-15
3250,2025-05-14,202,1,104,5.1,Liberica,Antioquia,16,85.0,,2025-05-14
5641,2025-05-27,202,3,102,5.6,Excelsa,Huila,9,74.0,21.2,2025-05-27
10486,2025-05-31,203,1,101,6.6,Arábica,Nariño,9,78.0,25.8,2025-05-31
5948,2025-05-01,203,2,101,6.9,Excelsa,Tolima,20,94.0,28.1,2025-05-01
10921,2025-05-07,203,4,104,5.2,Liberica,Tolima,16,95.0,18.2,2025-05-07
2964,2025-05-30,204,1,104,6.8,Robusta,Tolima,6,79.0,29.5,2025-05-30
9244,2025-05-27,203,1,102,5.9,Excelsa,Antioquia,12,66.0,29.3,2025-05-27
7591,2025-05-10,201,2,101,,Robusta,Antioquia,19,90.0,18.1,2025-05-10
9848,2025-05-24,204,1,102,5.9,Excelsa,Nariño,20,61.0,28.9,2025-05-24
1322,2025-05-11,204,3,102,5.4,Robusta,Tolima,19,89.0,23.9,2025-05-11
3679,2025-05-26,203,3,101,5.9,Robusta,Huila,16,92.0,18.3,2025-05-26
5626,2025-05-10,201,3,104,6.5,Liberica,Nariño,11,84.0,19.1,2025-05-10
5950,2025-05-07,202,1,101,5.6,Liberica,Caldas,7,61.0,22.8,2025-05-07
9329,2025-05-23,201,3,101,6.4,Excelsa,Caldas,12,78.0,,2025-05-23
4338,2025-05-14,201,4,103,5.6,Liberica,Tolima,15,89.0,,2025-05-14
6590,2025-05-03,204,2,103,,Excelsa,Antioquia,14,60.0,22.3,2025-05-03
1252,2025-05-13,202,1,104,5.7,Arábica,Antioquia,8,81.0,28.1,2025-05-13
4974,2025-05-11,204,4,103,6.2,Robusta,Huila,12,63.0,28.4,2025-05-11
7631,2025-05-26,204,2,103,6.9,Robusta,Caldas,14,70.0,,2025-05-26
